,IC mean,IC significance rate,|mean|*sig_rate,current IC,current significance,current_IC to mean
dividend_indicated_yield,-0.033566818,0.517879162,0.017383555,-0.293745782,TRUE,8.751076293
eps_to_price,0.001972786,0.526510481,0.001038693,-0.144602168,TRUE,-73.29844123
ebit_12m_to_interst_expense_12m,0.057614121,0.45622688,0.026285111,0.07030563,FALSE,1.220284691
fcf_yield_12m,0.033794168,0.627620222,0.021209903,0.032544895,FALSE,0.963032876
volatility_1m,0.000829293,0.289765721,0.000240301,0.071638686,FALSE,86.38527563
roe_avg_3y,0.008617418,0.344019729,0.002964562,0.007555722,FALSE,0.876796416
total_return_12m,0.014100722,0.721331689,0.010171298,0.261416616,TRUE,18.5392362
volatility_1y,0.00815089,0.377311961,0.003075428,0.117761306,TRUE,14.44766202
cash_to_total_assets,0.04295133,0.602959309,0.025897904,0.241700192,TRUE,5.627303979
roe_avg_5y,0.005586573,0.335388409,0.001873672,0.015128768,FALSE,2.708058826
net_debt_12m_to_ebitda_12m,-0.047689822,0.632552404,0.030166312,-0.219559142,TRUE,4.603899344
dividend_to_net_income,-0.024551261,0.500616523,0.012290767,-0.104640639,TRUE,4.262128824
roe_to_roe_5y_divide,0.010623085,0.091245376,0.000969307,0.005900379,FALSE,0.555429915
total_assets,-0.020381075,0.462392109,0.009424048,-0.087885227,TRUE,4.31209974
roe_12m,0.005376283,0.344019729,0.001849547,0.01535242,FALSE,2.855582524
market_cap,-0.021647503,0.356350185,0.007714092,0.012264142,FALSE,-0.566538396
price_to_200ma,0.010123052,0.720098644,0.007289596,0.196377618,TRUE,19.39905183
total_return_3m,0.004518415,0.616522811,0.002785706,0.147561419,TRUE,32.65778549
capex_to_sales,-0.02192919,0.210850801,0.004623787,0.040124893,FALSE,-1.829748111
roe_to_roe_5y,0.012725336,0.261405672,0.003326475,-0.042108684,FALSE,-3.309043009
total_assets_5_year_growth,0.015771621,0.288532676,0.004550628,0.1605632,TRUE,10.18051351
EPS_growth_12m,0.056282331,0.431565968,0.024289539,-0.063652862,FALSE,-1.130956391
net_income_12m,-0.010052443,0.387176326,0.003892068,-0.046605753,FALSE,4.636261389
volatility_1w,0.000257027,0.32675709,8.40E-05,0.149086679,TRUE,580.0437392
capex_to_assets,0.039717728,0.655980271,0.026054046,0.158408936,TRUE,3.988368538
volatility_3m,0.003159612,0.320591862,0.001012946,0.035421142,FALSE,11.21059776
price_to_52_week_high,0.011944685,0.727496917,0.008689722,0.224702031,TRUE,18.81188365
volume_to_20_day_ma,-0.004445205,0.210850801,0.000937275,0.047091479,FALSE,-10.59377038
total_return_6m,0.020574167,0.674475956,0.013876781,0.177932772,TRUE,8.648358334
net_income_5y_growth_rate,0.020074519,0.330456227,0.00663375,-0.003653658,FALSE,-0.182004747
total_return_1m,-0.014286993,0.559802713,0.007997897,-0.167647075,TRUE,11.73424488
